"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
0.8,0.8,0.2,0.0599999999999454
0.8,0.8,0.6,0.0300000000000864
1.2,1.2,0.2,0.0299999999999727
1.4,1.4,0.2,0.0300000000000864
1,1,0.2,0.0600000000000591
0.8,0.8,0.2,0.0399999999999636
1.4,1.4,0.2,0.0399999999999636
0.8,0.8,0.4,0.0499999999999545
1,1,0.2,0.0499999999999545
1.6,1.6,0.2,0.0300000000000864
1.4,1.4,0,0.0800000000000409
1.4,1.4,0.6,0.0300000000000864
1.6,1.6,0.4,0.07000000000005
1.2,1.2,0.2,0.0600000000000591
1,1,0.4,0.0600000000000591
1.4,1.4,0,0.0399999999999636
1,1,0,0.0599999999999454
0.8,0.8,0.6,0.0499999999999545
0.8,0.8,0.4,0.0299999999999727
1.6,1.6,0.2,0.0400000000000773
0.8,0.8,0.4,0.0600000000000591
0.4,0.4,0.6,0.0800000000000409
1.2,1.2,0.4,0.0500000000000682
1,1,0.2,0.0499999999999545
1.2,1.2,0.2,0.0500000000000682
1,1,0.4,0.0599999999999454
1.4,1.4,0.2,0.0399999999999636
1.6,1.6,0.4,0.0799999999999272
1,1,0.4,0.0400000000000773
0.8,0.8,0.6,0.0599999999999454
1,1,0.4,0.0900000000000318
1.6,1.6,0.2,0.0399999999999636
1.4,1.4,0.4,0.0399999999999636
0.6,0.6,0.4,0.0699999999999363
0.8,0.8,0.4,0.0299999999999727
0.8,0.8,0.4,0.0800000000000409
0.8,0.8,0.4,0.0399999999999636
1.6,1.6,0.4,0.0600000000000591
0.4,0.4,0.8,0.0599999999999454
1.2,1.2,0,0.0600000000000591
1.4,1.4,0.2,0.0100000000001046
1,1,0.2,0.0400000000000773
1,1,0.4,0.0800000000000409
1,1,0.4,0.0399999999999636
1,1,0.4,0.0400000000000773
1,1,0.2,0.110000000000014
0.8,0.8,0.2,0.0500000000000682
1,1,0.4,0.0499999999999545
1.2,1.2,0.4,0.0600000000000591
1,1,0.2,0.0300000000000864
1,1,0.2,0.0499999999999545
1.4,1.4,0.2,0.0399999999999636
1.4,1.4,0.2,0.0499999999999545
1,1,0.2,0.0500000000000682
1.2,1.2,0.2,0.0399999999999636
0.8,0.8,0.6,0.0599999999999454
1.2,1.2,0,0.0299999999999727
1,1,0.2,0.0399999999999636
1,1,0.2,0.0400000000000773
1.4,1.4,0.4,0.0299999999999727
0.8,0.8,0.2,0.0599999999999454
1,1,0.4,0.0500000000000682
1.2,1.2,0.2,0.0600000000000591
0.4,0.4,0.8,0.0400000000000773
1.4,1.4,0.2,0.0300000000000864
1.2,1.2,0.2,0.0299999999999727
0.8,0.8,0.6,0.0499999999999545
1.2,1.2,0.2,0.0500000000000682
1.2,1.2,0.4,0.0399999999999636
1,1,0.2,0.0499999999999545
1.4,1.4,0.4,0.0299999999999727
1,1,0,0.0500000000000682
1,1,0.2,0.0399999999999636
1.2,1.2,0.2,0.0600000000000591
1.2,1.2,0,0.0499999999999545
0.8,0.8,0.4,0.0599999999999454
1.2,1.2,0.2,0.0499999999999545
1.4,1.4,0.2,0.0499999999999545
1.2,1.2,0.2,0.0399999999999636
0.8,0.8,0.4,0.0499999999999545
1.6,1.6,0.2,0.0600000000000591
1.2,1.2,0,0.100000000000023
1.4,1.4,0.2,0.07000000000005
1.4,1.4,0,0.0499999999999545
1,1,0.2,0.0299999999999727
1,1,0.2,0.0499999999999545
1.4,1.4,0.4,0.0299999999999727
1,1,0.4,0.0299999999999727
0.6,0.6,0.4,0.0599999999999454
1,1,0.6,0.0299999999999727
1,1,0.2,0.0299999999999727
1,1,0.4,0.0499999999999545
0.6,0.6,0.4,0.0500000000000682
0.6,0.6,0.4,0.0299999999999727
0.6,0.6,0.6,0.0500000000000682
0.8,0.8,0.4,0.0399999999999636
0.6,0.6,0.4,0.0599999999999454
0.8,0.8,0.2,0.07000000000005
0.6,0.6,0.6,0.0400000000000773
1.2,1.2,0.2,0.0800000000000409
